scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area
2800210,"[400, 400, 56.171295166015625]",5,212,8,65.0,56.171295166015625,38.243038177490234,43.577627182006836,424,106.0,360,5017.636622748814,1254.4091556872036,2918.283993022706,0.3544326116629874,1.8239274956391913,0.7840057223045023,3.136022889218009
2801731,"[400, 400, 17.182811737060547]",6,68,12,27.6,17.182811737060547,4.44126558303833,13.83644895553589,197,39.4,100,3657.713379667446,731.5426759334892,1568.6800558041632,0.05937912949975159,0.980425034877602,0.45721417245843077,2.2860708622921537
2800249,"[400, 400, 20.468652725219727]",105,48,6,12.865384615384615,20.468652725219727,4.1400041580200195,8.861550872142498,1799,17.298076923076923,70,27936.747164631463,268.62256889068715,7209.450260413811,0.028267231979189136,4.505906412758631,0.16788910555667944,17.46046697789466
2800181,"[400, 400, 4.953627586364746]",12,8,8,8.0,4.953627586364746,4.178499221801758,4.48050576990301,110,10.0,10,5319.596624347403,483.5996931224912,799.8997842488462,0.03631098958028817,0.4999373651555289,0.302249808201557,3.324747890217127
2801699,"[400, 400, 27.153907775878906]",62,60,8,21.60655737704918,27.153907775878906,4.198813438415527,16.064683273190358,1897,31.098360655737704,88,34598.62118159376,567.190511173668,3035.632764627032,0.021732824638384052,1.897270477891895,0.35449406948354245,21.624138238496094
2803221,"[400, 400, 41.5683708190918]",27,36,8,14.0,41.5683708190918,12.976887702941895,21.145182902996357,498,19.153846153846153,54,33572.55692371773,1291.252189373759,7594.6699729675,0.19416561644960434,4.746668733104687,0.8070326183585993,20.982848077323577
2809263,"[400, 400, 19.88893699645996]",17,84,14,20.125,19.88893699645996,12.843441009521484,16.136480152606964,463,28.9375,136,22584.926658162363,1411.5579161351475,2864.785371713874,0.3400132699718324,1.7904908573211713,0.8822236975844673,14.115579161351477
2800357,"[400, 400, 25.67401123046875]",22,90,8,26.095238095238095,25.67401123046875,12.352283477783203,16.7060638155256,786,37.42857142857143,137,23761.180207968417,1131.4847718080198,5891.518513327989,0.16236592877420666,3.6821990708299936,0.7071779823800123,14.850737629980259
2803675,"[400, 400, 23.821044921875]",23,72,8,15.454545454545455,23.821044921875,4.388669967651367,13.600856650959361,472,21.454545454545453,106,11184.08338606689,508.3674266394041,2216.8868223359677,0.0037031542944123367,1.3855542639599798,0.3177296416496276,6.990052116291807
2800376,"[400, 400, 22.995838165283203]",60,72,8,19.220338983050848,22.995838165283203,3.9931843280792236,13.003585132501893,1593,27.0,108,22824.774373755827,386.860582606031,1411.7511121139692,0.03435803266373565,0.8823444450712308,0.24178786412876943,14.265483983597395
