scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,percent_very_poor,percent_poor,percent_fair,percent_good,percent_excellent,tensor_max [dBm],tensor_min [dBm],tensor_mean [dBm],tensor_median [dBm]
2802584,"[400, 400, 18.905025482177734]",10,14,8,9.77777777777778,18.90502548217773,12.89646339416504,15.283140712314182,114,12.666666666666666,19,15617.078534495478,1735.2309482772753,4061.0784757279994,0.4740102849194636,2.5381740473299987,1.084519342673297,9.760674084059673,0.1857,0.242425,0.213025,0.176175,0.182675,-64.81764221191406,-220.0,-104.95310974121094,-95.84846496582031
2801461,"[400, 400, 54.28724670410156]",22,24,8,12.476190476190476,54.28724670410156,18.090456008911133,27.528513862973167,366,17.428571428571427,34,5265.391982642822,250.73295155442008,630.4350702868105,0.1264673509175372,0.3940219189292566,0.1567080947215125,3.2908699891517634,0.27895,0.488,0.16495,0.052725,0.015375,-71.79348754882812,-220.0,-119.81330108642578,-107.16798400878906
2805977,"[400, 400, 19.78814125061035]",13,32,8,13.333333333333334,19.78814125061035,4.2178144454956055,14.577341238657633,218,18.166666666666668,48,16176.206134453892,1348.0171778711576,4941.879041164661,0.0862054926718519,3.088674400727913,0.8425107361694736,10.110128834033684,0.146075,0.22575,0.2524,0.11945,0.256325,-62.862281799316406,-220.0,-101.94700622558594,-95.52517700195312
2803205,"[400, 400, 27.767255783081055]",47,80,8,28.347826086956523,27.76725578308105,4.291126251220703,16.391680561977886,1882,40.91304347826087,118,28490.26088105744,619.3534974142923,2896.710726521822,0.0085547651102126,1.8104442040761384,0.3870959358839326,17.806413050660904,0.31595,0.26215,0.1707,0.107025,0.144175,-63.794822692871094,-220.0,-116.91947174072266,-106.07305908203125
2803216,"[400, 400, 22.202299118041992]",99,40,8,14.489795918367347,22.202299118041992,4.098639011383057,13.41545844078064,1934,19.73469387755102,58,33482.314540926585,341.6562708257816,2105.93143456569,0.0359020983799018,1.3162071466035563,0.2135351692661134,20.92644658807913,0.633425,0.186625,0.054575,0.0617,0.063675,-61.14237976074219,-220.0,-140.68484497070312,-131.0093994140625
2805151,"[400, 400, 27.40972328186035]",60,138,8,27.661016949152543,27.40972328186035,4.290234565734863,15.856097560817911,2406,40.77966101694916,205,40176.34699061404,680.9550337392208,8083.152346248388,0.0521520437312892,5.051970216405243,0.425596896087013,25.11021686913377,0.4973,0.244875,0.13185,0.057425,0.06855,-62.36871337890625,-220.0,-131.01893615722656,-119.75810241699219
2801571,"[400, 400, 21.536357879638672]",21,28,8,14.0,21.536357879638672,4.432144641876221,15.201635193824767,380,19.0,40,49068.317589909966,2453.415879495498,10686.00369366347,0.0540115437968415,6.678752308539668,1.5333849246846865,30.66769849369373,0.6232,0.189275,0.054625,0.0523,0.0806,-57.35130310058594,-220.0,-148.6968231201172,-137.63446044921875
2805367,"[400, 400, 19.739721298217773]",15,56,8,18.714285714285715,19.739721298217773,13.936600685119627,16.07986777169364,365,26.071428571428573,82,19724.99311976128,1408.9280799829487,4108.132621907411,0.1446625528592632,2.567582888692132,0.8805800499893428,12.3281206998508,0.15475,0.2929,0.288275,0.131,0.133075,-62.553558349609375,-220.0,-106.33963775634766,-98.19681549072266
2803551,"[400, 400, 19.313322067260742]",11,64,8,18.0,19.313322067260746,4.325758457183838,9.665343236923215,250,25.0,94,71089.00156035887,7108.900156035887,57989.05939853343,0.0293863565562696,36.24316212408339,4.443062597522429,44.430625975224295,0.5889642695612844,0.17630031659882406,0.08453188602442334,0.05890999547715966,0.09129353233830846,-66.4659423828125,-220.0,-147.49473571777344,-128.071044921875
2811705,"[400, 400, 19.685285568237305]",12,20,8,13.454545454545457,19.685285568237305,13.136479377746582,16.513961445201527,202,18.363636363636363,28,15131.810754537602,1375.6191595034184,4235.621253183665,0.2297389533549902,2.647263283239791,0.8597619746896363,9.457381721586,0.2741,0.2211,0.13375,0.175525,0.195525,-55.05553436279297,-220.0,-113.8310775756836,-99.69163513183594
2800910,"[400, 400, 21.539966583251953]",77,40,8,10.842105263157896,21.539966583251957,4.150999069213867,9.8784803465793,1084,14.263157894736842,58,21216.40351966935,279.1632042061757,1912.869181903603,0.0275927659729495,1.195543238689752,0.1744770026288598,13.260252199793346,0.36845,0.2217,0.190375,0.07465,0.144825,-59.17933654785156,-220.0,-124.45137786865234,-107.144775390625
2809793,"[400, 400, 18.502323150634766]",9,32,8,18.0,18.50232315063477,12.56186866760254,16.217554569244385,200,25.0,46,7473.572831954894,934.1966039943618,1569.7682240568424,0.2716329078969658,0.9811051400355264,0.5838728774964761,4.670983019971809,0.99605,7.5e-05,0.00015,0.001025,0.0027,-66.6633529663086,-220.0,-219.426025390625,-220.0
2800400,"[400, 400, 21.30519676208496]",124,36,8,12.764227642276422,21.30519676208496,3.861600875854492,10.643156691295344,2113,17.178861788617887,54,29038.60557502362,236.08622418718397,736.8436400977425,0.0262096840952517,0.4605272750610891,0.1475538901169899,18.14912848438976,0.557225,0.18735,0.1053,0.086225,0.0639,-57.300750732421875,-220.0,-142.8704071044922,-126.78129577636719
2801687,"[400, 400, 22.88946533203125]",72,122,8,23.295774647887324,22.88946533203125,4.11677885055542,14.650135691736786,2427,34.183098591549296,197,26104.436841600687,367.6681245295872,2314.811302470844,0.0198673287246856,1.4467570640442773,0.2297925778309919,16.31527302600043,0.39735,0.28455,0.12565,0.08605,0.1064,-59.46532440185547,-220.0,-121.61090087890625,-112.05753326416016
2800199,"[400, 400, 32.92679214477539]",40,212,8,32.30769230769231,32.92679214477539,4.176374912261963,15.875613322624794,1776,45.53846153846154,302,34001.559825529934,871.8348673212804,14385.9869964972,0.0618887177871238,8.991241872810749,0.5448967920758002,21.25097489095621,0.2889,0.3175,0.14875,0.06335,0.1815,-64.67574310302734,-220.0,-114.28407287597656,-104.67642211914062
