scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2805598,"[400.0, 400.0, 44.58257293701172]",108,92,8,14.97196261682243,44.58257293701172,4.08806848526001,12.71909062216215,2189,20.457943925233646,128,[-35.645027  81.97388    0.      ],[ 15.8763275 113.55517    44.582573 ],160000.0,58301.00831627235,544.8692366006762,2669.817646490119,0.06037558952462632,1.6686360290563242,0.34054327287542274,36.43813019767023,899575.2371359972,8407.245206878477,72540.79059669659
2800764,"[400.0, 400.0, 32.508056640625]",97,136,8,24.5,32.508056640625,4.154389381408691,13.433026631673178,3359,34.989583333333336,202,[ 39.529594 -86.94261    0.      ],[147.40065   62.41425   20.455816],160000.0,52794.68487336923,549.9446340975963,16111.282269976073,0.027706611190228613,10.069551418735045,0.3437153963109976,32.99667804585578,830403.3271363537,8650.03465767035,329569.4299713534
2808429,"[400.0, 400.0, 20.415285110473633]",30,64,8,21.517241379310345,20.415285110473633,4.407959938049316,14.237824653757029,886,30.551724137931036,98,[-32.827084 -90.879654   0.      ],[ 47.042564 -22.028519  16.48464 ],160000.0,32070.602965051963,1105.8828608638607,5499.115935734706,0.13711919128677436,3.436947459834191,0.6911767880399128,20.044126853157476,520324.7025371804,17942.23112197174,90650.94718677217
2800303,"[400.0, 479.53326416015625, 19.795095443725586]",6,24,8,13.6,19.795095443725586,4.164602756500244,14.66558542251587,92,18.4,34,[-168.36656 -200.         0.     ],[-22.632263 -31.213394  16.850306],191813.3056640625,34507.63933177857,6901.527866355714,24597.99763233331,0.02229786426754331,12.8239266547096,3.5980443809476363,17.99022190473818,579042.3868751414,115808.47737502828,414483.77620135236
2808150,"[400.0, 400.0, 21.672914505004883]",33,42,8,18.8125,21.672914505004883,4.379203796386719,14.76889517903328,845,26.40625,63,[-112.65156 -100.90008    0.     ],[-28.557919 -28.87574   13.032514],160000.0,38500.43793835305,1203.1386855735325,6056.78868644411,0.24172502765008175,3.7854929290275687,0.7519616784834577,24.062773711470648,561866.5673302319,17558.330229069747,78935.18104027327
2802194,"[400.0, 400.0, 21.393619537353516]",58,186,8,23.57894736842105,21.393619537353516,4.17246150970459,12.271687064254493,1712,30.035087719298247,160,[-147.80522    37.064266    0.      ],[-82.9609   113.01838   14.266642],160000.0,38004.2007361604,666.7403637922877,4925.192976563267,0.004040231558178675,3.0782456103520417,0.4167127273701798,23.752625460100248,543072.0000265763,9527.578947834674,70265.96309031342
2802322,"[400.0, 400.0, 24.444414138793945]",22,42,8,17.904761904761905,24.444414138793945,4.276841640472412,15.150617281595865,524,24.952380952380953,61,[-25.481737  -9.034035   0.      ],[17.872417 29.41573  24.444414],160000.0,25306.85685952163,1205.0884218819824,2802.088855172682,0.25930938661935216,1.7513055344829263,0.753180263676239,15.816785537201017,390490.96940436587,18594.80806687456,40747.78782653261
2803220,"[400.0, 400.0, 21.27845573425293]",77,88,8,27.894736842105264,21.27845573425293,4.170719623565674,15.205334939454731,3128,41.1578947368421,144,[-150.16269    71.481575    0.      ],[-67.887474 101.46106   16.433386],160000.0,43615.22898847852,573.8845919536648,2466.5685420720256,0.0954798783787237,1.541605338795016,0.3586778699710404,27.259518117799075,686547.632990448,9033.521486716421,40534.072574872574
2810423,"[426.9850158691406, 414.1535339355469, 13.49653148651123]",2,164,164,164.0,13.49653148651123,13.49653148651123,13.49653148651123,246,246.0,246,[-80.987274 -48.215256   0.      ],[200.        200.         13.4965315],176837.35325973015,69745.3281170153,69745.3281170153,69745.3281170153,39.44038226730115,39.44038226730115,39.44038226730115,39.44038226730115,941320.0169683541,941320.0169683541,941320.0169683541
2800368,"[400.0, 400.0, 27.277507781982422]",96,92,8,20.63157894736842,27.277507781982422,3.856793165206909,13.622320790039865,2814,29.621052631578948,146,[95.15573  44.908573  0.      ],[146.2305  103.44094  20.17014],160000.0,55245.1906598583,581.5283227353506,5333.683518158854,0.016139659407347084,3.3335521988492838,0.3634552017095941,34.52824416241143,812966.2838497738,8557.539829997619,60299.17818660713
