scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area
2802117,"[400, 400, 57.937374114990234]",22,40,8,16.19047619047619,57.937374114990234,4.524696350097656,22.83901044300624,466,22.19047619047619,56,31051.123801336053,1478.6249429207644,7594.670516748103,0.020479400081076158,4.746669072967565,0.9241405893254776,19.406952375835026
2800905,"[400, 400, 29.92255210876465]",47,220,8,26.956521739130434,29.92255210876465,7.836629867553711,17.825587604356848,1754,38.130434782608695,310,41448.33811407274,901.0508285667986,9552.87721122618,0.09913388775417385,5.970548257016362,0.5631567678542492,25.90521132129547
2800392,"[400, 400, 21.457786560058594]",27,188,8,22.615384615384617,21.457786560058594,4.199828624725342,16.47469272980323,830,31.923076923076923,280,33686.82081625242,1295.6469544712468,9694.646705388921,0.11548670516684074,6.0591541908680755,0.8097793465445291,21.05426301015776
2801471,"[400, 400, 20.460773468017578]",23,64,8,12.0,20.460773468017578,13.754349708557129,17.018905943090264,350,15.909090909090908,92,25305.391915981592,1150.2450870900723,5815.991904429113,0.13270776605870202,3.634994940268195,0.7189031794312952,15.815869947488494
2800100,"[400, 400, 20.39596176147461]",55,46,8,17.51851851851852,20.39596176147461,4.294261932373047,15.501242125475848,1319,24.425925925925927,73,34545.80192917001,639.7370727624076,2139.8247098601278,0.09087246349471795,1.3373904436625799,0.3998356704765048,21.591126205731257
2809004,"[400, 400, 19.407411575317383]",19,136,8,25.333333333333332,19.407411575317383,4.634542942047119,16.170580466588337,636,35.333333333333336,190,18774.84499849906,1043.0469443610589,4821.782646142707,0.010982959226603303,3.0136141538391916,0.6519043402256618,11.734278124061913
2803980,"[400, 400, 4.634684085845947]",2,8,8,8.0,4.634684085845947,4.634684085845947,4.634684085845947,10,10.0,10,12.573549641631807,12.573549641631807,12.573549641631807,0.007858468526019879,0.007858468526019879,0.007858468526019879,0.007858468526019879
2801506,"[400, 400, 53.44906234741211]",8,158,14,56.857142857142854,53.44906234741211,13.790471076965332,21.76762076786586,583,83.28571428571429,235,15259.136934667662,2179.876704952523,5464.060885285158,0.540420525407976,3.4150380533032236,1.3624229405953268,9.536960584167288
2803552,"[400, 400, 16.676116943359375]",3,24,8,16.0,16.676116943359375,7.580404758453369,12.128260850906372,44,22.0,34,45406.39509290259,22703.197546451294,45362.89092919431,0.027190102317672337,28.351806830746447,14.18949846653206,28.37899693306412
2800175,"[400, 400, 21.47852897644043]",119,34,8,13.11864406779661,21.47852897644043,4.267918586730957,10.266507528596005,2088,17.694915254237287,49,29713.253514685846,251.8072331753037,3173.7042140200642,0.029096041587506546,1.98356513376254,0.15737952073456482,18.57078344667865
2808422,"[400, 400, 16.640575408935547]",2,48,48,48.0,16.640575408935547,16.640575408935547,16.640575408935547,70,70.0,70,18725.913482473567,18725.913482473567,18725.913482473567,11.70369592654598,11.70369592654598,11.70369592654598,11.70369592654598
2806853,"[400, 400, 17.386878967285156]",16,18,8,10.4,17.386878967285156,13.331145286560059,15.973361078898112,204,13.6,25,14246.747360639,949.7831573759332,2029.1245864023513,0.21693908405784376,1.2682028665014695,0.5936144733599583,8.904217100399375
2800775,"[400, 400, 17.658720016479492]",24,20,8,9.217391304347826,17.658720016479492,4.240375995635986,7.141204108362612,272,11.826086956521738,28,3891.803103033393,169.20883056666926,1512.2787007820043,0.036935260671984924,0.9451741879887526,0.1057555191041683,2.4323769393958714
2802630,"[400, 400, 21.070335388183594]",99,24,8,12.16326530612245,21.070335388183594,4.0038886070251465,11.733001081310974,1594,16.26530612244898,34,26323.250973546958,268.60460177088737,3468.9150014215857,0.02568832579325997,2.1680718758884914,0.16787787610680463,16.45203185846685
2804349,"[400, 400, 42.362091064453125]",23,40,8,13.5,42.362091064453125,4.473258972167969,24.873561945828524,405,18.40909090909091,58,14939.199034128942,679.0545015513155,3443.779432135749,0.15931160630217847,2.1523621450848434,0.4244090634695722,9.336999396330588
2800352,"[400, 400, 32.25431442260742]",53,314,8,45.73076923076923,32.25431442260742,4.315927028656006,16.406777941263638,3361,64.63461538461539,437,39446.63672420229,758.5891677731213,5981.167073794756,0.011362445521717725,3.7382294211217224,0.47411822985820073,24.65414795262644
2801664,"[400, 400, 16.70142364501953]",20,30,8,15.789473684210526,16.70142364501953,4.373727798461914,11.038974234932347,412,21.68421052631579,43,7148.8160547634025,376.25347656649484,1668.675799602157,0.058828575714478554,1.042922374751348,0.23515842285405933,4.4680100342271265
2803683,"[400, 400, 24.17415428161621]",65,78,8,19.84375,24.17415428161621,2.700000047683716,15.987860035151243,1793,28.015625,117,41355.23919146779,656.4323681185363,3280.488123811097,0.0012162202198054937,2.0503050773819353,0.4102702300740851,25.84702449466736
2806636,"[400, 400, 16.321884155273438]",6,36,6,17.6,16.321884155273438,12.296438217163086,14.72916202545166,122,24.4,52,6566.974983917524,1313.3949967835047,2878.086424450972,0.14641326980146926,1.7988040152818576,0.8208718729896904,4.104359364948452
2800067,"[400, 400, 20.605072021484375]",55,96,8,38.51851851851852,20.605072021484375,4.4371819496154785,15.759753386179606,3082,57.074074074074076,158,32356.917153067498,599.2021695012498,1921.6773404602718,0.11584581782490203,1.20104833778767,0.37450135593828116,20.223073220667185
2808942,"[400, 400, 19.618824005126953]",101,32,8,12.08,19.618824005126953,3.88175892829895,8.76857007741928,1612,16.12,46,17829.811141066963,178.29811141066966,1264.060791008662,0.018720948719519556,0.7900379943804137,0.11143631963166856,11.143631963166856
2800172,"[400, 400, 51.02069854736328]",21,56,8,16.3,51.02069854736328,4.156653881072998,19.648803210258485,457,22.85,86,27437.783944832932,1371.889197241647,7617.813094327751,0.009107805616840787,4.761133183954844,0.8574307482760295,17.14861496552059
2802786,"[400, 400, 27.0]",50,73,8,24.224489795918366,27.0,4.331908702850342,14.994380989853216,1691,34.51020408163265,116,49921.321016128895,1018.8024697169163,18510.192083058704,0.074634830380055,11.56887005191169,0.6367515435730727,31.20082563508057
