scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,diff_coords_biggest_building,min_coords_biggest_building,max_coords_biggest_building,tot_buildings_volume_max,avg_building_volume,max_building_volume
2805598,[400.     400.      42.2775],108,92,8,14.97196261682243,42.27750015258789,4.140913009643555,12.746723651885986,2189,20.457943925233646,128,"[51.52135467529297, 31.58129119873047, 42.27750015258789]","[-35.64502716064453, 81.973876953125, 0.0]","[15.876327514648438, 113.55516815185547, 42.27750015258789]",885335.0913290966,8274.15973204763,68790.18153244905
2800764,[400.       400.        32.190094],97,136,8,24.5,32.190093994140625,4.087934494018555,13.510886073112488,3359,34.989583333333336,202,"[107.87105560302734, 149.3568572998047, 18.3134765625]","[39.52959442138672, -86.94261169433594, 0.0]","[147.40065002441406, 62.414249420166016, 18.3134765625]",810348.8077490396,8441.133414052498,295053.5902430286
2808429,[400.      400.       21.25515],30,64,8,21.517241379310345,21.255149841308594,4.331104278564453,14.283335751500623,886,30.551724137931036,98,"[79.86964416503906, 68.85113525390625, 13.271012306213379]","[-32.827083587646484, -90.87965393066406, 0.0]","[47.042564392089844, -22.028518676757812, 13.271012306213379]",494797.7138665541,17061.990133329447,72978.83525642939
2800303,[400.      479.53326  18.89751],6,24,8,13.6,18.897510528564453,4.683867454528809,13.90880126953125,92,18.4,34,"[145.7342987060547, 248.3198699951172, 18.897510528564453]","[-168.36656188964844, -279.53326416015625, 0.0]","[-22.63226318359375, -31.213394165039062, 18.897510528564453]",839181.8731028477,167836.37462056955,683876.7570609946
2808150,[400.       400.        20.908339],33,42,8,18.8125,20.90833854675293,4.645877838134766,15.745709091424942,845,26.40625,63,"[84.09364318847656, 72.02433776855469, 19.540498733520508]","[-112.65155792236328, -100.90007781982422, 0.0]","[-28.557918548583984, -28.87574005126953, 19.540498733520508]",649302.6407149557,20290.707522342367,118352.67165666247
2802194,[400.       400.        19.739355],58,186,8,23.57894736842105,19.739355087280273,4.084710121154785,11.969499035885459,1712,30.035087719298247,160,"[64.84432220458984, 75.95411682128906, 13.26970100402832]","[-147.8052215576172, 37.064266204833984, 0.0]","[-82.96089935302734, 113.01837921142578, 13.26970100402832]",528530.1780352725,9272.45926377671,65355.83818613481
2802322,[400.       400.        26.814846],22,42,8,17.904761904761905,26.81484603881836,4.438634395599365,16.402899855659122,524,24.952380952380953,61,"[47.413021087646484, 59.09956359863281, 16.293865203857422]","[-36.54730224609375, -109.7781753540039, 0.0]","[10.865718841552734, -50.678611755371094, 16.293865203857422]",421056.8457154494,20050.32598644997,45656.85809541484
2803220,[400.       400.        21.427826],77,88,8,27.894736842105264,21.427825927734375,4.186007022857666,15.212855175921792,3128,41.1578947368421,144,"[82.27521514892578, 29.97948455810547, 16.679157257080078]","[-150.16268920898438, 71.48157501220703, 0.0]","[-67.8874740600586, 101.4610595703125, 16.679157257080078]",682600.5306348783,8981.585929406294,41140.284598586055
2810423,[426.98502  414.15353   15.875601],2,164,164,164.0,15.875600814819336,15.875600814819336,15.875600814819336,246,246.0,246,"[307.9722900390625, 262.3687744140625, 15.875600814819336]","[-80.98727416992188, -48.21525573730469, 0.0]","[226.98501586914062, 214.15353393554688, 15.875600814819336]",1282785.3294508974,1282785.3294508974,1282785.3294508974
2800368,[400.       400.        27.492052],96,92,8,20.63157894736842,27.49205207824707,4.105345249176025,13.788220154611688,2814,29.621052631578948,146,"[51.07476806640625, 58.53236770629883, 19.770111083984375]","[95.15573120117188, 44.908573150634766, 0.0]","[146.23049926757812, 103.4409408569336, 19.770111083984375]",819977.5839171702,8631.342988601797,59103.28295397395
2805870,[400.       400.        21.185307],57,40,8,15.714285714285714,21.185306549072266,4.274729251861572,15.199094380651202,1212,21.642857142857142,58,"[86.68898010253906, 32.70454788208008, 17.49259376525879]","[57.36912155151367, -31.617340087890625, 0.0]","[144.05810546875, 1.0872085094451904, 17.49259376525879]",559768.4657651302,9995.86546009161,49593.673934549515
2805830,[400.       400.        22.037539],131,62,8,11.538461538461538,22.037538528442383,4.095162868499756,9.73880126292889,1983,15.253846153846155,91,"[34.777923583984375, 45.707786560058594, 18.54635238647461]","[-14.30542278289795, -92.3746109008789, 0.0]","[20.472501754760742, -46.66682434082031, 18.54635238647461]",583292.9758507756,4486.869045005966,29481.688878785793
