scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,percent_very_poor,percent_poor,percent_fair,percent_good,percent_excellent,tensor_max [dBm],tensor_min [dBm],tensor_mean [dBm],tensor_median [dBm]
2805598,"[400, 400, 42.27750015258789]",108,92,8,14.97196261682243,42.27750015258789,4.140913009643555,12.746723651885986,2189,20.457943925233646,128,28856.570115490045,269.6875711728041,1088.4262921039935,0.0278277114633601,0.680266432564996,0.1685547319830026,18.03535632218128,0.350775,0.384525,0.1304,0.0478,0.0865,-61.14372253417969,-220.0,-122.71556091308594,-110.53070831298828
2800764,"[400, 400, 32.190093994140625]",97,136,8,24.5,32.190093994140625,4.087934494018555,13.510886073112488,3359,34.989583333333336,202,40354.68185496026,420.3612693225027,11462.669827320176,0.0215635072039754,7.16416864207511,0.2627257933265642,25.221676159350164,0.483125,0.201575,0.134175,0.093975,0.08715,-57.830467224121094,-220.0,-135.46778869628906,-117.4126968383789
2808429,"[400, 400, 21.255149841308594]",30,64,8,21.517241379310345,21.255149841308597,4.331104278564453,14.283335751500625,886,30.55172413793104,98,16995.98044792332,586.0682913077009,2973.3119566962896,0.0771947453097572,1.8583199729351807,0.366292682067313,10.622487779952078,0.2182,0.266275,0.181525,0.144475,0.189525,-59.115814208984375,-220.0,-106.56320190429688,-99.04370880126953
2800303,"[400, 400, 18.897510528564453]",6,24,8,13.6,18.897510528564453,4.683867454528809,13.90880126953125,92,18.4,34,21542.34503361044,4308.469006722088,13959.034879320652,0.0197250166782168,8.724396799575407,2.6927931292013048,13.463965646006525,0.1371875,0.2628333333333333,0.2684375,0.136,0.19554166666666667,-64.56259155273438,-220.0,-106.73762512207031,-96.83024597167969
2808150,"[400, 400, 20.90833854675293]",33,42,8,18.8125,20.90833854675293,4.645877838134766,15.745709091424942,845,26.40625,63,17577.399161227262,549.2937237883519,2438.652509480656,0.1235507810991749,1.52415781842541,0.34330857736772,10.98587447576704,0.1368,0.287125,0.3342,0.086925,0.15495,-64.9464111328125,-220.0,-105.71082305908203,-97.83930969238281
2802194,"[400, 400, 19.739355087280273]",58,186,8,23.57894736842105,19.739355087280277,4.084710121154785,11.96949903588546,1712,30.035087719298247,160,29365.719975113905,515.1880697388405,3115.5524017169223,0.0035020228509506,1.9472202510730765,0.3219925435867752,18.35357498444619,0.213325,0.32885,0.258,0.07045,0.129375,-59.850013732910156,-220.0,-112.70684814453125,-101.26615142822266
2802322,"[400, 400, 26.81484603881836]",22,42,8,17.904761904761905,26.81484603881836,4.438634395599365,16.402899855659122,524,24.952380952380956,61,19508.057765853227,928.9551317072966,2410.3806214112847,0.2118248076440249,1.506487888382053,0.5805969573170604,12.19253610365827,0.145825,0.270025,0.327125,0.1022,0.154825,-65.74110412597656,-220.0,-105.2145767211914,-97.73368835449219
2803220,"[400, 400, 21.427825927734375]",77,88,8,27.894736842105264,21.42782592773437,4.186007022857666,15.212855175921792,3128,41.1578947368421,144,35390.27518755145,465.6615156256771,2142.008234345325,0.060741952170664,1.3387551464658285,0.2910384472660481,22.118921992219665,0.412625,0.300475,0.144475,0.086225,0.0562,-67.70182800292969,-220.0,-127.95375061035156,-111.73015594482422
2810423,"[400, 400, 15.875600814819336]",2,164,164,164.0,15.875600814819336,15.875600814819336,15.875600814819336,246,246.0,246,41026.98101216769,41026.98101216769,41026.98101216769,25.641863132604808,25.641863132604808,25.641863132604808,25.641863132604808,0.1691955274319022,0.16479553650404843,0.341634347145676,0.173414075434896,0.15096051348347736,-56.44341278076172,-220.0,-103.92662048339844,-94.59205627441406
2800368,"[400, 400, 27.49205207824707]",96,92,8,20.63157894736842,27.49205207824707,4.105345249176025,13.788220154611688,2814,29.621052631578948,146,33431.221327688305,351.9075929230348,2845.5618214783613,0.0146202713908797,1.7784761384239758,0.2199422455768967,20.89451332980517,0.3764,0.2581,0.138825,0.08775,0.138925,-65.01891326904297,-220.0,-120.27653503417969,-108.76649475097656
