scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,diff_coords_biggest_building,min_coords_biggest_building,max_coords_biggest_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2803578,[400.       400.        37.213852],54,52,8,18.11320754716981,37.21385192871094,4.3323469161987305,20.8441444972776,1334,25.169811320754718,76,"[25.261940002441406, 22.45301055908203, 37.21385192871094]","[-97.0365982055664, -61.54050827026367, 0.0]","[-71.774658203125, -39.08749771118164, 37.21385192871094]",16100.899255665037,303.7905519936799,1515.4316931746143,0.022478684542147676,0.9471448082341339,0.18986909499604993,10.063062034790647,323381.3599809022,6101.535093979286,21107.94263444434
2800310,[400.       400.        19.280714],5,32,8,16.0,19.28071403503418,4.117414951324463,11.463097929954529,88,22.0,46,"[41.776283264160156, 19.01335334777832, 19.28071403503418]","[22.012165069580078, -21.47264289855957, 0.0]","[63.788448333740234, -2.459289312362671, 19.28071403503418]",2341.1523597145356,585.2880899286339,1064.2642147339939,0.019468269244288478,0.6651651342087461,0.36580505620539616,1.4632202248215846,27837.929339554637,6959.482334888659,15314.81085101554
2802201,[400.      400.       19.00381],27,50,8,17.076923076923077,19.00381088256836,4.523215293884277,14.063171716836782,616,23.692307692307693,75,"[89.0287094116211, 118.7784423828125, 15.736560821533203]","[67.25484466552734, -130.39578247070312, 0.0]","[156.28355407714844, -11.61734390258789, 15.736560821533203]",40031.102258447594,1539.6577791710613,10574.691091646819,0.07384717054013891,6.609181932279261,0.9622861119819134,25.01943891152975,603786.4834207738,23222.557054645145,166409.2695326255
2804503,[400.       400.        20.572948],48,40,8,15.702127659574469,20.572948455810547,12.920507431030273,16.604954354306486,1025,21.80851063829787,64,"[54.21809387207031, 36.858394622802734, 20.353300094604492]","[-103.79705810546875, -96.67542266845703, 0.0]","[-49.57896423339844, -59.8170280456543, 20.353300094604492]",34087.15511992833,725.2586195729432,1998.3918996329303,0.15140671136068704,1.2489949372705815,0.45328663723308943,21.304471949955204,565255.0385698477,12026.702948294635,40673.87003985577
2801692,[400.       400.        28.288778],60,190,8,24.576271186440678,28.28877830505371,6.632106304168701,17.64639968387151,2063,34.96610169491525,263,"[72.65008544921875, 97.18232727050781, 12.704267501831055]","[26.790813446044922, 71.56484985351562, 0.0]","[99.4408950805664, 168.74717712402344, 12.704267501831055]",48475.56935891729,821.6198196426659,7060.304009635176,0.13665608454768516,4.412690006021985,0.513512387276666,30.297230849323306,859210.1056496854,14562.883146604836,89695.99078265566
2802186,[400.       400.        24.260012],100,3174,8,57.525252525252526,24.260011672973633,4.291417598724365,13.618914787215417,6324,63.878787878787875,2976,"[86.10281372070312, 55.31268310546875, 24.260011672973633]","[-127.14690399169922, 53.97492980957031, 0.0]","[-41.044090270996094, 109.28761291503906, 24.260011672973633]",63065.645665042,637.0267238893132,4762.577649822459,0.003019322798063513,2.976611031139037,0.39814170243082075,39.41602854065123,1002246.4704934005,10123.70172215556,115540.18937813617
2802769,[400.       400.        17.527285],6,34,8,20.4,17.527284622192383,4.397493362426758,14.258663940429688,143,28.6,49,"[212.74908447265625, 170.29640197753906, 4.397493362426758]","[-173.1616973876953, -39.644683837890625, 0.0]","[39.58738708496094, 130.65171813964844, 4.397493362426758]",42644.62620220793,8528.925240441586,36230.40360970888,0.5416472424689709,22.644002256068053,5.330578275275991,26.65289137637996,268410.0029125632,53682.00058251264,159322.95939173727
2802203,[400.      400.       20.69625],27,54,8,24.076923076923077,20.696250915527344,4.637145519256592,15.915662838862492,887,34.11538461538461,79,"[56.12541198730469, 67.8162841796875, 18.976789474487305]","[76.10762023925781, 52.991119384765625, 0.0]","[132.2330322265625, 120.80740356445312, 18.976789474487305]",28526.10138790281,1097.1577456885695,3806.216889033094,0.17755417695586856,2.3788855556456836,0.685723591055356,17.82881336743926,461929.8899143236,17766.534227473985,72229.77659741903
2806034,[400.       400.        20.969442],183,32,6,11.791208791208792,20.96944236755371,3.8250842094421387,8.341262474164857,2855,15.686813186813186,46,"[30.45600128173828, 26.98389434814453, 15.644070625305176]","[-38.41709899902344, -112.2645263671875, 0.0]","[-7.961097717285156, -85.28063201904297, 15.644070625305176]",40922.65044158376,224.84972770100973,821.8215208533802,0.03323788190617165,0.5136384505333627,0.14053107981313107,25.57665652598988,418419.6062498969,2299.008825548885,12856.63391362599
2800758,[400.       400.        20.875093],24,164,8,28.434782608695652,20.875093460083008,4.138797760009766,15.940273222715959,935,40.65217391304348,244,"[49.46027374267578, 75.34103393554688, 16.445350646972656]","[-13.474821090698242, -143.5098419189453, 0.0]","[35.985450744628906, -68.16880798339844, 16.445350646972656]",27569.68480212432,1198.6819479184487,3726.388018806756,0.13791805939192273,2.3289925117542225,0.7491762174490304,17.231053001327698,456742.92226521356,19858.3879245745,61281.75761595484
2801545,[400.       400.        21.931082],109,86,8,21.62962962962963,21.931081771850586,4.341246128082275,14.234364536073473,3352,31.037037037037038,131,"[72.209716796875, 46.80986404418945, 17.043039321899414]","[-138.33067321777344, -8.0911865234375, 0.0]","[-66.12095642089844, 38.71867752075195, 17.043039321899414]",51491.108772381565,476.7695256701998,3380.1270259311423,0.01784597299334564,2.112579391206964,0.2979809535438748,32.18194298273848,786189.3160339542,7279.53070401809,57607.63781595938
2800097,[400.       400.        21.135164],76,30,8,14.106666666666667,21.135164260864258,4.092649936676025,9.597757116953533,1437,19.16,43,"[65.0013427734375, 44.083091735839844, 17.128572463989258]","[51.25869369506836, -119.75409698486328, 0.0]","[116.26004028320312, -75.67100524902344, 17.128572463989258]",27060.9303405803,360.81240454107063,2865.460324597865,0.03533305987770291,1.7909127028736658,0.22550775283816918,16.91308146286269,336747.30297967495,4489.964039729,49081.24481256071
